studio,course,attendance list,waiting list,instructor,date,maxnr
Studio A,Di 09:30,"[""member_0020"",""member_0087"",""member_0209""]",[],Instructor C,2020-08-04T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0061"",""member_0439"",""member_0301""]",[],Instructor C,2020-08-11T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0203"",""member_0409""]",[],Instructor C,2020-08-18T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0447""]",[],Instructor C,2020-09-01T07:30:00.000Z,9
Studio A,Di 09:30,[],[],Instructor C,2020-09-08T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0156"",""member_0281"",""member_0434"",""member_0203"",""member_0256""]",[],Instructor C,2020-09-15T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0096""]",[],Instructor C,2020-09-22T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0222"",""member_0387"",""member_0003"",""member_0131"",""member_0261"",""member_0198"",""member_0210""]",[],Instructor C,2020-09-29T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0096"",""member_0066"",""member_0177"",""member_0293"",""member_0402"",""member_0203"",""member_0184"",""member_0265"",""member_0234""]","[{""ID"":""member_0222"",""email"":""member-0222@synthetic.invalid"",""name"":""Synthetic Member 0222""},{""ID"":""member_0010"",""email"":""member-0010@synthetic.invalid"",""name"":""Synthetic Member 0010""},{""ID"":""member_0404"",""email"":""member-0404@synthetic.invalid"",""name"":""Synthetic Member 0404""}]",Instructor C,2020-10-06T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0337"",""member_0349"",""member_0066""]",[],Instructor C,2020-10-13T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0230"",""member_0136"",""member_0222"",""member_0169"",""member_0310"",""member_0164"",""member_0269"",""member_0096""]",[],Instructor C,2020-10-20T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0110"",""member_0325"",""member_0209"",""member_0020"",""member_0066""]",[],Instructor C,2020-10-27T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0234"",""member_0340"",""member_0154"",""member_0349""]",[],Instructor C,2020-11-03T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0409"",""member_0168"",""member_0387"",""member_0096"",""member_0326""]",[],Instructor C,2020-11-10T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0447"",""member_0424"",""member_0210"",""member_0101"",""member_0177""]",[],Instructor C,2020-11-17T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0440"",""member_0110"",""member_0486"",""member_0256""]",[],Instructor C,2020-12-01T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0275"",""member_0340"",""member_0198""]",[],Instructor C,2020-12-08T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0458"",""member_0110"",""member_0275"",""member_0222"",""member_0190"",""member_0493""]",[],Instructor C,2020-12-15T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0066"",""member_0203""]",[],Instructor C,2020-12-22T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0422""]",[],Instructor C,2020-12-29T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0066""]",[],Instructor C,2021-01-05T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0074"",""member_0222""]",[],Instructor C,2021-01-12T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0110"",""member_0203"",""member_0430"",""member_0012""]",[],Instructor C,2021-01-19T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0110"",""member_0374"",""member_0222""]",[],Instructor C,2021-01-26T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0066"",""member_0256"",""member_0110""]",[],Instructor C,2021-02-02T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0431"",""member_0426"",""member_0442"",""member_0230""]",[],Instructor C,2021-02-09T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0261"",""member_0443"",""member_0442""]",[],Instructor C,2021-02-16T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0110"",""member_0172""]",[],Instructor C,2021-02-23T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0326"",""member_0349"",""member_0402"",""member_0267"",""member_0430"",""member_0203""]",[],Instructor C,2021-03-02T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0422"",""member_0053""]",[],Instructor C,2021-03-09T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0203"",""member_0305""]",[],Instructor C,2021-03-16T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0351"",""member_0157"",""member_0179"",""member_0076"",""member_0409""]",[],Instructor C,2021-03-23T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0442"",""member_0090"",""member_0222"",""member_0083"",""member_0347"",""member_0323""]",[],Instructor C,2021-04-06T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0157""]",[],Instructor C,2021-04-13T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0452"",""member_0351"",""member_0443"",""member_0387"",""member_0349"",""member_0440"",""member_0234"",""member_0442""]","[{""ID"":""member_0127"",""email"":""member-0127@synthetic.invalid"",""name"":""Synthetic Member 0127""}]",Instructor C,2021-04-20T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0347"",""member_0402"",""member_0162"",""member_0426"",""member_0203"",""member_0157""]",[],Instructor C,2021-04-27T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0172"",""member_0100""]",[],Instructor C,2021-05-04T07:30:00.000Z,9
Studio A,Di 09:30,[],[],Instructor C,2021-05-11T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0340"",""member_0281"",""member_0106"",""member_0323"",""member_0203""]","[{""ID"":""member_0066"",""email"":""member-0066@synthetic.invalid"",""name"":""Synthetic Member 0066""},{""ID"":""member_0222"",""email"":""member-0222@synthetic.invalid"",""name"":""Synthetic Member 0222""},{""ID"":""member_0387"",""email"":""member-0387@synthetic.invalid"",""name"":""Synthetic Member 0387""}]",Instructor C,2021-05-18T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0269"",""member_0096"",""member_0053"",""member_0347""]",[],Instructor C,2021-05-25T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0181"",""member_0422"",""member_0374"",""member_0402"",""member_0127"",""member_0172"",""member_0136"",""member_0406"",""member_0349""]","[{""ID"":""member_0083"",""email"":""member-0083@synthetic.invalid"",""name"":""Synthetic Member 0083""},{""ID"":""member_0010"",""email"":""member-0010@synthetic.invalid"",""name"":""Synthetic Member 0010""}]",Instructor C,2021-06-01T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0010"",""member_0039"",""member_0422"",""member_0042"",""member_0336"",""member_0145""]",[],Instructor C,2021-06-08T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0170"",""member_0387"",""member_0325"",""member_0230"",""member_0426"",""member_0066"",""member_0133""]",[],Instructor C,2021-06-15T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0431"",""member_0349"",""member_0347"",""member_0013"",""member_0110"",""member_0172""]",[],Instructor C,2021-06-22T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0083"",""member_0203""]",[],Instructor C,2021-06-29T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0083"",""member_0443"",""member_0349""]",[],Instructor C,2021-07-06T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0340"",""member_0066"",""member_0391"",""member_0442""]",[],Instructor C,2021-07-13T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0402""]",[],Instructor C,2021-07-20T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0090"",""member_0464"",""member_0347"",""member_0145"",""member_0203""]",[],Instructor C,2021-08-03T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0402"",""member_0305"",""member_0090"",""member_0210""]",[],Instructor C,2021-08-10T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0127"",""member_0150"",""member_0402"",""member_0172"",""member_0013""]",[],Instructor C,2021-08-17T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0465"",""member_0442"",""member_0467"",""member_0013"",""member_0440"",""member_0170""]",[],Instructor C,2021-08-24T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0090"",""member_0402"",""member_0347"",""member_0261""]",[],Instructor C,2021-08-31T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0157"",""member_0100"",""member_0083""]",[],Instructor C,2021-09-07T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0449"",""member_0248"",""member_0083"",""member_0402"",""member_0440"",""member_0170""]",[],Instructor C,2021-09-14T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0363"",""member_0347"",""member_0203"",""member_0110"",""member_0162"",""member_0178"",""member_0170"",""member_0228"",""member_0172""]",[],Instructor C,2021-09-21T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0157"",""member_0430"",""member_0021"",""member_0039"",""member_0295""]",[],Instructor C,2021-09-28T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0210"",""member_0323"",""member_0340"",""member_0066"",""member_0110""]",[],Instructor C,2021-10-05T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0347""]",[],Instructor C,2021-10-12T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0157"",""member_0298"",""member_0340"",""member_0203"",""member_0083"",""member_0351""]",[],Instructor C,2021-10-19T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0428"",""member_0460""]",[],Instructor C,2021-10-26T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0340"",""member_0305"",""member_0110"",""member_0295""]",[],Instructor C,2021-11-02T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0083"",""member_0473"",""member_0440""]",[],Instructor C,2021-11-09T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0170"",""member_0347"",""member_0025"",""member_0493""]",[],Instructor C,2021-11-16T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0463"",""member_0293"",""member_0340"",""member_0234""]",[],Instructor C,2021-11-23T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0356"",""member_0172"",""member_0340"",""member_0157""]",[],Instructor C,2021-11-30T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0127"",""member_0090"",""member_0170"",""member_0157"",""member_0261""]",[],Instructor C,2021-12-07T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0203""]",[],Instructor C,2021-12-28T08:30:00.000Z,9
